front,back
"What is an array?","Contiguous area of memory (on the heap or stack) of equal sized elements indexed by contiguous integers"
"In general, how is an element in an array accessed? (What is the pseduocode used by the compiler/interpreter?)","array_addr + elem_size * (i - first_index) -- constant time access"
"What is the difference between row-major and column-major array indexing?","In row-major indexing, the column numbers change more rapidly than the row numbers, i.e. the elements are (1,1), (1,2), (1,3), (2,1), (2,3), etc. In column-major indexing, it's the row numbers that are changing more rapidly. This is just a difference in how the complier/interpreter ""stores"" the values of the array"
"How do you declare a dynamically allocated array?","int* my_array = new int[size]

In this example, we are creating a pointer to an integer which we are able to dynamically allocate the size of (for the array)"
"What are the 4 steps required to dynamically allocate a new array? (This is usually done when the current array is too small and you need a bigger one)","1. Create new array with a bigger size than the original in order to fit the new element
2. Copy the elements from the old array into the new one
3. De-allocate the old array
4. Put the new element into the new array"
"What is the difference between a single linked list and a double linked list?","In a single linked list, each node only ""points forward"". It only knows what its next node is. In a double linked list, each node knows its next AND previous node. This helps our runtime in the case where we want to pop the back of the linked list and we need to know what the previous node is"
"What is a stack?","It's an abstract data structure with the following operations:
- Push(key): adds key to the collection
- Key Top(): finds the most recently added key
- Key Pop(): removes and returns the most recently added key
- Boolean Empty(): is it empty?"
"What is a queue?","An abstract data structure that implements the following operations:
- Enqueue(key): adds key to collection
- Key Dequeue(key): removes and returns least recently added key
- Boolean Empty(): is the queue empty?"
"What is the pseudocode for implementing the IsBalanced(str) operation on a string of parans ((, )) and brackets ([, ]) to determine if it is indeed balanced?","Stack stack
  for char in str:
    if char in [‘(‘, ‘[‘]:
      stack.Push(char)
    else:
      if stack.Empty(): return False
      top ← stack.Pop()
      if (top = ‘[‘ and char != ‘]’) or
        (top = ‘(‘ and char != ‘)’):
        return False
return stack.Empty()"
"What is the definition of a tree?","A Tree is:
empty, or
a node with:
a key, and
a list of child trees."
"What is the pseudocode to find the height of a tree?","if tree = nil:
  return 0
return 1 + Max(Height(tree.left), Height(tree.right))"
"What is the pseudocode to find the size of a tree?","if tree = nil
  return 0
return 1 + Size(tree.left) + Size(tree.right)"
"What is the difference between a depth-first search vs. a breadth first search?","Depth-first: We completely traverse one sub-tree before exploring a sibling sub-tree.
Breadth-first: We traverse all nodes at one level before progressing to the next level."
"What is the pseudocode for an In Order traversal of a tree? (Depth first)","if tree = nil:
  return
InOrderTraversal(tree.left)
Print(tree.key)
InOrderTraversal(tree.right)"
